ablation_name,horizon,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MASE_mean,MASE_std,R2_mean,R2_std,sMAPE_mean,sMAPE_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
no_serotype,2,4018.9366914037378,,1252.654676354365,,26.696005822150056,,-0.059059507481090456,,177.5187968303416,,1.0,,0.10101010101010101,,0.1834862385321101,,0.8667191394464122,,0.8842456816166051,
no_serotype,3,4055.5944884087476,,1258.6469373415814,,26.82371015856633,,-0.0784675489393909,,174.7703811254887,,1.0,,0.1414141414141414,,0.24778761061946902,,0.8196904105995015,,0.8809720862936224,
no_serotype,4,4076.0021821720115,,1262.8961682046272,,26.914267831004572,,-0.08934852341162336,,174.1517978961179,,0.9230769230769231,,0.12121212121212122,,0.21428571428571427,,0.8697363242817788,,0.8860767888321257,
no_serotype,5,4079.9547094276245,,1263.7329076657259,,26.9321000412272,,-0.0914622452207341,,172.07186670921564,,0.9333333333333333,,0.1414141414141414,,0.24561403508771928,,0.7817132362586908,,0.8206532916517572,
no_serotype,6,4095.7818560512583,,1270.211444534678,,27.07016766771458,,-0.09994677051010248,,177.4162627111465,,1.0,,0.08247422680412371,,0.1523809523809524,,0.7591021793031449,,0.8364591314179396,
no_temporal,1,4109.628834874305,,1286.30276434797,,27.413098545258517,,-0.10739672096109953,,195.06907902198185,,0.0,,0.0,,0.0,,0.7195394736842106,,0.767749020446348,
no_temporal,2,4109.780416564543,,1285.8848053579886,,27.404191193663074,,-0.10747841406245207,,191.1747172133067,,0.0,,0.0,,0.0,,0.8074248983339892,,0.83121865299325,
no_temporal,3,4110.594507978822,,1286.419558654132,,27.415587612306407,,-0.10791721023801304,,194.6659189004444,,0.0,,0.0,,0.0,,0.6881149153876427,,0.766545556707203,
no_temporal,4,4109.99351946813,,1286.2078033064847,,27.411074778801392,,-0.10759326836636274,,195.88274448972754,,0.0,,0.0,,0.0,,0.822248458612095,,0.8423267088608428,
no_temporal,5,4110.459948995015,,1286.4280771915944,,27.41576915549623,,-0.10784467680100529,,196.9681692816279,,0.0,,0.0,,0.0,,0.8536009445100354,,0.8806816161102178,
no_temporal,6,4109.874012902549,,1286.3876988636764,,27.414908630965776,,-0.1075288581707996,,195.1432769827205,,0.0,,0.0,,0.0,,0.7734568706772804,,0.8252825544532811,
